,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,AI_param
10,B,0,0,23,2,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,5714300,56.04,45.0,4.8
11,B,0,0,23,2,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,5714300,56.04,45.0,4.9
12,B,0,0,23,2,3.0,37.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,5714300,56.04,45.0,4.8
13,B,0,0,23,2,4.0,48.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,5714300,56.04,75.0,4.3
14,B,0,0,23,2,6.0,51.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,5714300,56.04,75.0,4.1
15,B,0,0,23,2,8.0,53.0,1.5,0,0,0,0,-1.0,1,-1.0,1,2,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,5714300,56.04,115.0,4.2
16,B,0,0,24,2,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,45.0,4.8
17,B,0,0,24,2,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,45.0,4.8
18,B,0,0,24,2,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,45.0,4.8
19,B,0,0,24,2,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,45.0,4.9
20,B,0,0,24,2,3.0,39.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,45.0,4.7
21,B,0,0,24,2,4.0,42.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,75.0,4.2
22,B,0,0,24,2,6.0,44.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,75.0,4.1
23,B,0,0,24,2,8.0,46.0,1.5,0,0,0,0,-1.0,1,-1.0,1,3,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6153800,56.04,115.0,4.2
24,B,0,0,25,2,0.5,7.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,45.0,4.9
25,B,0,0,25,2,1.0,14.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,45.0,4.8
26,B,0,0,25,2,1.5,21.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,45.0,4.8
27,B,0,0,25,2,2.0,28.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,45.0,4.9
28,B,0,0,25,2,3.0,39.0,1.5,0,0,0,0,-1.0,1,-1.0,1,4,11291796,5V1,90,90,20,0.5,0,2024-10-30,Beamstyle_5V1_Intensity,10,0,15,6666700,56.04,45.0,4.7
